id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,AT_E_Demand,2050,1,1,2,1.8762
2,AT_E_Demand,2050,1,3,4,1.8762
3,AT_E_Demand,2050,1,5,6,1.8762
4,AT_E_Demand,2050,1,7,8,3.498
5,AT_E_Demand,2050,1,9,10,3.498
6,AT_E_Demand,2050,1,11,12,3.498
7,AT_E_Demand,2050,1,13,14,1.8762
8,AT_E_Demand,2050,1,15,16,1.8762
9,AT_E_Demand,2050,1,17,18,5.406
10,AT_E_Demand,2050,1,19,20,5.406
11,AT_E_Demand,2050,1,21,22,1.8762
12,AT_E_Demand,2050,1,23,24,1.8762
13,AT_E_Demand,2050,2,1,2,0.0
14,AT_E_Demand,2050,2,3,4,0.0
15,AT_E_Demand,2050,2,5,6,0.0
16,AT_E_Demand,2050,2,7,8,0.0
17,AT_E_Demand,2050,2,9,10,0.0
18,AT_E_Demand,2050,2,11,12,0.0
19,AT_E_Demand,2050,2,13,14,0.0
20,AT_E_Demand,2050,2,15,16,0.0
21,AT_E_Demand,2050,2,17,18,0.0
22,AT_E_Demand,2050,2,19,20,0.0
23,AT_E_Demand,2050,2,21,22,0.0
24,AT_E_Demand,2050,2,23,24,0.0
25,AT_E_Demand,2050,3,1,2,1.9140000000000001
26,AT_E_Demand,2050,3,3,4,1.9140000000000001
27,AT_E_Demand,2050,3,5,6,1.9140000000000001
28,AT_E_Demand,2050,3,7,8,2.9579999999999997
29,AT_E_Demand,2050,3,9,10,2.9579999999999997
30,AT_E_Demand,2050,3,11,12,2.9579999999999997
31,AT_E_Demand,2050,3,13,14,2.9579999999999997
32,AT_E_Demand,2050,3,15,16,2.9579999999999997
33,AT_E_Demand,2050,3,17,18,27.874097116999007
34,AT_E_Demand,2050,3,19,20,2.9579999999999997
35,AT_E_Demand,2050,3,21,22,2.9579999999999997
36,AT_E_Demand,2050,3,23,24,2.9579999999999997
37,AT_E_Demand,2050,4,1,2,0.0
38,AT_E_Demand,2050,4,3,4,0.0
39,AT_E_Demand,2050,4,5,6,0.0
40,AT_E_Demand,2050,4,7,8,0.8142
41,AT_E_Demand,2050,4,9,10,0.8142
42,AT_E_Demand,2050,4,11,12,0.8142
43,AT_E_Demand,2050,4,13,14,0.8142
44,AT_E_Demand,2050,4,15,16,0.8142
45,AT_E_Demand,2050,4,17,18,1.518
46,AT_E_Demand,2050,4,19,20,1.518
47,AT_E_Demand,2050,4,21,22,0.8142
48,AT_E_Demand,2050,4,23,24,0.8142
49,AT_E_Demand,2050,5,1,2,0.0
50,AT_E_Demand,2050,5,3,4,0.0
51,AT_E_Demand,2050,5,5,6,0.0
52,AT_E_Demand,2050,5,7,8,0.0
53,AT_E_Demand,2050,5,9,10,0.0
54,AT_E_Demand,2050,5,11,12,0.0
55,AT_E_Demand,2050,5,13,14,0.0
56,AT_E_Demand,2050,5,15,16,0.0
57,AT_E_Demand,2050,5,17,18,1.8408
58,AT_E_Demand,2050,5,19,20,1.8408
59,AT_E_Demand,2050,5,21,22,0.0
60,AT_E_Demand,2050,5,23,24,0.0
61,AT_E_Demand,2050,6,1,2,0.0
62,AT_E_Demand,2050,6,3,4,0.0
63,AT_E_Demand,2050,6,5,6,0.0
64,AT_E_Demand,2050,6,7,8,0.0
65,AT_E_Demand,2050,6,9,10,0.0
66,AT_E_Demand,2050,6,11,12,0.0
67,AT_E_Demand,2050,6,13,14,0.0
68,AT_E_Demand,2050,6,15,16,0.0
69,AT_E_Demand,2050,6,17,18,0.0
70,AT_E_Demand,2050,6,19,20,0.0
71,AT_E_Demand,2050,6,21,22,0.0
72,AT_E_Demand,2050,6,23,24,0.0
73,AT_E_Demand,2050,7,1,2,1.3098
74,AT_E_Demand,2050,7,3,4,1.3098
75,AT_E_Demand,2050,7,5,6,1.3098
76,AT_E_Demand,2050,7,7,8,1.3098
77,AT_E_Demand,2050,7,9,10,1.3098
78,AT_E_Demand,2050,7,11,12,1.3098
79,AT_E_Demand,2050,7,13,14,1.3098
80,AT_E_Demand,2050,7,15,16,1.3098
81,AT_E_Demand,2050,7,17,18,2.442
82,AT_E_Demand,2050,7,19,20,2.442
83,AT_E_Demand,2050,7,21,22,1.3098
84,AT_E_Demand,2050,7,23,24,1.3098
85,AT_E_Demand,2050,8,1,2,1.0974
86,AT_E_Demand,2050,8,3,4,1.0974
87,AT_E_Demand,2050,8,5,6,1.0974
88,AT_E_Demand,2050,8,7,8,1.0974
89,AT_E_Demand,2050,8,9,10,1.0974
90,AT_E_Demand,2050,8,11,12,1.0974
91,AT_E_Demand,2050,8,13,14,1.0974
92,AT_E_Demand,2050,8,15,16,1.0974
93,AT_E_Demand,2050,8,17,18,1.0974
94,AT_E_Demand,2050,8,19,20,1.0974
95,AT_E_Demand,2050,8,21,22,1.0974
96,AT_E_Demand,2050,8,23,24,1.0974
